"severity","code","questionId","sourceFile","topicId","field","path","message"
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.095","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[144]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.096","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[145]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.097","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[146]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.098","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[147]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.099","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[148]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.100","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[149]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.101","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[150]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.102","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[151]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.103","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[152]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.104","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[153]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.105","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[154]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.106","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[155]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.107","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[156]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.108","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[157]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.109","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[158]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.110","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[159]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.111","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[160]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.133","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[182]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.134","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[183]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.135","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[184]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.136","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[185]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.137","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[186]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.138","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[187]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.139","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[188]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.141","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[190]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.142","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[191]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.143","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[192]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.144","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[193]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.145","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[194]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.156","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[205]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.157","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[206]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.168","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[217]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.169","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[218]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.170","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[219]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.171","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[220]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.172","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[221]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
